datetime,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,temp,feelslike,humidity,precip,preciptype,snow,snowdepth,windspeed,cloudcover,visibility,conditions,icon
2021-09-21,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Station Wagon/Sport Utility Vehicle,None,72.0,72.0,70.7,0.032,rain,0.0,0.0,9.2,48.4,9.6,"Rain, Partially cloudy",rain
2021-09-22,4.0,0.0,0,0,0,0,4,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Taxi,Motorbike,75.5,75.7,83.0,0.037,rain,0.0,0.0,16.0,78.5,9.7,"Rain, Partially cloudy",rain
2021-09-23,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Motorcycle,None,75.2,75.3,82.6,0.577,rain,0.0,0.0,15.1,86.3,9.4,"Rain, Partially cloudy",rain
2021-09-24,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,Sedan,Bike,67.7,67.7,66.7,0.552,rain,0.0,0.0,11.4,39.3,9.4,"Rain, Partially cloudy",rain
2021-09-25,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Sedan,None,70.4,70.4,58.4,0.0,none,0.0,0.0,7.6,0.7,9.9,Clear,clear-day
2021-09-26,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Motorcycle,Station Wagon/Sport Utility Vehicle,69.3,69.3,55.4,0.009,rain,0.0,0.0,10.3,11.8,9.9,Rain,rain
2021-09-27,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,71.0,71.0,53.0,0.0,none,0.0,0.0,19.6,21.6,9.9,Partially cloudy,partly-cloudy-day
2021-09-28,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,None,Bike,None,69.7,69.7,71.5,0.041,rain,0.0,0.0,12.8,46.5,9.8,"Rain, Partially cloudy",rain
2021-09-29,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,65.0,65.0,53.0,0.0,none,0.0,0.0,10.3,40.5,9.9,Partially cloudy,partly-cloudy-day
2021-09-30,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,64.1,64.1,55.5,0.0,none,0.0,0.0,6.0,79.0,9.9,Partially cloudy,partly-cloudy-day
2021-10-01,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Sedan,Bus,61.6,61.6,57.8,0.0,none,0.0,0.0,11.4,10.9,9.9,Clear,clear-day
